scheme,pattern,num_events,num_support_pairs,pairwise_rank_loss_events,max_pair_correlation,pairwise_safe,collective_only_events,min_collective_determinant,min_collective_lambda
baseline,1-1-1-1,6560,28,0,0.916035742325803,1,0,0.118191779362619,0.0618260478335891
GPS-rational,1-1-1-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-1-1-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-2-1-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-2-1-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-1-2-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-1-2-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-2-2-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-2-2-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-1-1-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-1-1-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-2-1-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-2-1-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-1-2-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-1-2-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,1-2-2-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-rational,2-2-2-2,6560,28,240,1,0,NaN,NaN,NaN
GPS-offset,1-1-1-1,6560,28,240,1,0,NaN,NaN,NaN
GPS-offset,2-1-1-1,6560,28,64,1,0,NaN,NaN,NaN
GPS-offset,1-2-1-1,6560,28,16,1,0,NaN,NaN,NaN
GPS-offset,2-2-1-1,6560,28,0,0.91266780745484,1,0,0.0278433476804854,0.0575959374647522
GPS-offset,1-1-2-1,6560,28,64,1,0,NaN,NaN,NaN
GPS-offset,2-1-2-1,6560,28,208,1,0,NaN,NaN,NaN
GPS-offset,1-2-2-1,6560,28,0,0.91266780745484,1,0,0.0278433476804854,0.0575959374647516
GPS-offset,2-2-2-1,6560,28,16,1,0,NaN,NaN,NaN
GPS-offset,1-1-1-2,6560,28,16,1,0,NaN,NaN,NaN
GPS-offset,2-1-1-2,6560,28,0,0.91266780745484,1,0,0.0278433476804854,0.0575959374647518
GPS-offset,1-2-1-2,6560,28,208,1,0,NaN,NaN,NaN
GPS-offset,2-2-1-2,6560,28,64,1,0,NaN,NaN,NaN
GPS-offset,1-1-2-2,6560,28,0,0.91266780745484,1,0,0.0278433476804854,0.0575959374647522
GPS-offset,2-1-2-2,6560,28,16,1,0,NaN,NaN,NaN
