scheme,pattern,support_1,support_2,support_3,event_index,event_weight,gram_determinant,min_eigenvalue,max_pair_correlation
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",60,2,7.21644966006352e-16,4.44089209850063e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",61,2,7.21644966006352e-16,4.44089209850063e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",72,2,3.88578058618805e-16,0,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",73,2,3.88578058618805e-16,0,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",88,2,1.0547118733939e-15,5.55111512312577e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",89,2,1.0547118733939e-15,5.55111512312577e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",100,2,7.7715611723761e-16,0,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",101,2,7.7715611723761e-16,0,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",112,2,9.43689570931383e-16,2.22044604925031e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",113,2,9.43689570931383e-16,2.22044604925031e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",132,2,6.10622663543836e-16,4.44089209850063e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",133,2,6.10622663543836e-16,4.44089209850063e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",148,2,9.99200722162641e-16,3.33066907387546e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(1,-1)","(2,-1)",149,2,9.99200722162641e-16,3.33066907387546e-16,0.5
GPS-rational,1-1-1,"(0,-1)","(0,0)","(0,1)",11256,6,-3.88578058618805e-16,0,0.5
GPS-rational,1-1-1,"(0,-1)","(0,0)","(0,1)",11277,6,-3.88578058618805e-16,0,0.5
GPS-rational,1-1-1,"(1,-1)","(1,0)","(1,1)",11256,6,-5.55111512312578e-16,0,0.5
GPS-rational,1-1-1,"(1,-1)","(1,0)","(1,1)",11277,6,-5.55111512312578e-16,0,0.5
