scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
baseline,-0.5,0.700151588640513,0.700151588640513,0.74011644696853,2.13865874482958e-05,0,1629,1629
GPS-rational,-0.5,0.602598118382593,0.602598118382593,0.594389587664153,2.65601786033236e-05,0,1630,1632
local-proposed,-0.5,0.661215303164585,0.661215303164585,0.683262550155468,2.31455178182537e-05,0,1631,1631
integer-safe-GPS,-0.5,0.647104494456572,0.647104494456572,0.662141726058773,2.38749765582749e-05,0,1632,1630
baseline,-0.45,0.663563315006906,0.663563315006906,0.686754125757085,2.30291997407991e-05,0,1629,1629
GPS-rational,-0.45,0.548749577615315,0.548749577615315,0.511575270407374,3.07934349771803e-05,0,1630,1632
local-proposed,-0.45,0.618225781596039,0.618225781596039,0.618327011392594,2.55451082058472e-05,0,1631,1631
integer-safe-GPS,-0.45,0.601797548205174,0.601797548205174,0.593160503104296,2.66144799694944e-05,0,1630,1630
baseline,-0.4,0.627258940880764,0.627258940880764,0.632101681687333,2.49954039042078e-05,0,1629,1629
GPS-rational,-0.4,0.492928712932573,0.492928712932573,0.426918775621505,3.67871250974048e-05,0,1630,1632
local-proposed,-0.4,0.574948537420681,0.574948537420681,0.551857879561077,2.85778647372217e-05,0,1631,1631
integer-safe-GPS,-0.4,0.55595957098113,0.555959570981131,0.522644815300439,3.01510862281049e-05,0,1632,1630
baseline,-0.35,0.59185352347847,0.59185352347847,0.577877686785605,2.73087086631381e-05,0,1629,1629
GPS-rational,-0.35,0.43532581080388,0.43532581080388,0.343103628202582,4.55685148731379e-05,0,1630,1632
local-proposed,-0.35,0.532003595771365,0.532003595771365,0.48595090158591,3.23908341806527e-05,0,1631,1631
integer-safe-GPS,-0.35,0.510186785315727,0.510186785315727,0.45282993832524,3.47187610205389e-05,0,1632,1630
baseline,-0.3,0.558073606066424,0.558073606066424,0.525893595358206,2.9967620247142e-05,0,1629,1629
GPS-rational,-0.3,0.376141189518946,0.376141189518946,0.262947177558297,5.90486137052983e-05,0,1630,1632
local-proposed,-0.3,0.490174945783767,0.490174945783767,0.422812572060642,3.71377411750396e-05,0,1631,1631
integer-safe-GPS,-0.3,0.46525093954793,0.46525093954793,0.386062618660109,4.06010355355005e-05,0,1632,1630
baseline,-0.25,0.526766361442201,0.526766361442201,0.47796889504964,3.29228339460339e-05,0,1629,1629
GPS-rational,-0.25,0.315584040795995,0.315584040795995,0.189267750833608,8.11014588499722e-05,0,1630,1632
local-proposed,-0.25,0.450461588965424,0.450461588965424,0.364656528038326,4.29331351152198e-05,0,1631,1631
integer-safe-GPS,-0.25,0.422170320191766,0.422170320191766,0.324690417204958,4.80904460287085e-05,0,1632,1630
baseline,-0.2,0.498894833468416,0.498894833468416,0.435842863597348,3.60474946254866e-05,0,1629,1629
GPS-rational,-0.2,0.25387123393947,0.25387123393947,0.124747326562444,0.000120515208636886,0,1632,1632
local-proposed,-0.2,0.414131587188404,0.414131587188404,0.313595987762693,4.97493893536266e-05,0,1631,1631
integer-safe-GPS,-0.2,0.382301168530012,0.382301168530012,0.270947321576137,5.73552103896681e-05,0,1630,1630
baseline,-0.15,0.475505993614137,0.475505993614137,0.401087999317279,3.91098596608714e-05,0,1629,1629
GPS-rational,-0.15,0.191226087340766,0.191226087340766,0.0717976570113199,0.000200466945121068,0,1632,1632
local-proposed,-0.15,0.382753700367541,0.382753700367541,0.271538424512437,5.72339358531176e-05,0,1631,1631
integer-safe-GPS,-0.15,0.347427829006167,0.347427829006167,0.226842231035491,6.81262050278413e-05,0,1630,1630
baseline,-0.1,0.457656729702699,0.457656729702699,0.375030195092993,4.17704188292894e-05,0,1629,1629
GPS-rational,-0.1,0.127877112368758,0.127877112368758,0.0324377056521351,0.000395513828512656,0,1630,1632
local-proposed,-0.1,0.358149493079707,0.358149493079707,0.240088654108635,6.44889152018657e-05,0,1631,1631
integer-safe-GPS,-0.1,0.319775927573173,0.319775927573173,0.19405686649802,7.91793587990537e-05,0,1630,1630
baseline,-0.05,0.44629101989318,0.44629101989318,0.358680399587038,4.36328254600228e-05,0,1629,1629
GPS-rational,-0.05,0.0640567349110343,0.0640567349110352,0.00818969378890577,0.000987307313615504,0,1630,1632
local-proposed,-0.05,0.342180991495938,0.342180991495938,0.220466101727785,7.00273670410408e-05,0,1631,1631
integer-safe-GPS,-0.05,0.301789845220933,0.301789845220933,0.17385918126741,8.79724209125337e-05,0,1632,1630
baseline,0,0.442085027364556,0.442085027364556,0.352681873114535,4.43584539654865e-05,0,1629,1629
GPS-rational,0,0,0,0,0.00199600798403194,1,1632,1632
local-proposed,0,0.336330953456762,0.336330953456762,0.213441223144381,7.22487159046904e-05,0,1631,1631
integer-safe-GPS,0,0.295520206661339,0.295520206661339,0.167037473235577,9.14006429250801e-05,0,1630,1630
baseline,0.05,0.445308271147109,0.445308271147109,0.357276238314545,4.38005474023314e-05,0,1629,1629
GPS-rational,0.05,0.0640567349110447,0.0640567349110447,0.00818969378890844,0.000987307313615343,0,1630,1632
local-proposed,0.05,0.341210843756981,0.341210843756981,0.219294936449578,7.03881663148622e-05,0,1631,1631
integer-safe-GPS,0.05,0.301789845220935,0.301789845220935,0.173859181267413,8.79724209125325e-05,0,1630,1630
baseline,0.1,0.455761714478307,0.455761714478307,0.372290405661611,4.20713397455537e-05,0,1629,1629
GPS-rational,0.1,0.127877112368768,0.127877112368768,0.0324377056521405,0.000395513828512604,0,1630,1632
local-proposed,0.1,0.356316385714265,0.356316385714265,0.237803544815391,6.50883964983985e-05,0,1631,1631
integer-safe-GPS,0.1,0.319775927573177,0.319775927573177,0.194056866498024,7.9179358799052e-05,0,1632,1630
baseline,0.15,0.47282422564414,0.47282422564414,0.397145194259482,3.94904552229968e-05,0,1629,1629
GPS-rational,0.15,0.191226087340777,0.191226087340777,0.0717976570113276,0.000200466945121049,0,1630,1632
local-proposed,0.15,0.380231745980913,0.380231745980913,0.268250089291555,5.79151789531234e-05,0,1631,1631
integer-safe-GPS,0.15,0.347427829006172,0.347427829006172,0.226842231035497,6.81262050278396e-05,0,1632,1630
baseline,0.2,0.49558348517273,0.49558348517273,0.430885152473808,3.64546775733399e-05,0,1629,1629
GPS-rational,0.2,0.253871233939481,0.253871233939481,0.124747326562455,0.000120515208636876,0,1632,1632
local-proposed,0.2,0.411112535674079,0.411112535674079,0.309461465051964,5.03972777953899e-05,0,1631,1631
integer-safe-GPS,0.2,0.382301168530018,0.382301168530018,0.270947321576146,5.73552103896663e-05,0,1630,1630
baseline,0.25,0.522992046156246,0.522992046156246,0.472227798110262,3.33164115038222e-05,0,1629,1629
GPS-rational,0.25,0.315584040796005,0.315584040796005,0.18926775083362,8.11014588499674e-05,0,1630,1632
local-proposed,0.25,0.447122101887073,0.447122101887073,0.359869071697967,4.34918435971111e-05,0,1631,1631
integer-safe-GPS,0.25,0.422170320191773,0.422170320191773,0.324690417204968,4.80904460287071e-05,0,1632,1630
baseline,0.3,0.553996588486945,0.553996588486945,0.519629329291152,3.03233992831789e-05,0,1629,1629
GPS-rational,0.3,0.376141189518955,0.376141189518956,0.262947177558308,5.90486137052958e-05,0,1630,1632
local-proposed,0.3,0.486663808571013,0.486663808571013,0.417589352015419,3.75935122155615e-05,0,1631,1631
integer-safe-GPS,0.3,0.465250939547937,0.465250939547937,0.386062618660119,4.06010355354994e-05,0,1632,1630
baseline,0.35,0.587619060425515,0.587619060425515,0.571362882118879,2.76157804397107e-05,0,1629,1629
GPS-rational,0.35,0.435325810803889,0.435325810803889,0.343103628202595,4.55685148731362e-05,0,1630,1632
