scheme,fractional_doppler,min_sigma,tracked_integer_event_sigma,min_gram_determinant,worst_pep_surrogate,near_rank_loss_events,worst_event_index,integer_worst_event_index
baseline,-0.5,0.602832751650033,0.602832751650033,0.594749767997678,2.65443076721995e-05,0,1629,226
GPS-rational,-0.5,0.602757254020238,0.602757254020238,0.594633875416806,2.65494122751358e-05,0,1630,1630
local-proposed,-0.5,0.603688909766816,0.603688909766816,0.596063867450477,2.64865638835608e-05,0,226,226
integer-safe-GPS,-0.5,0.625901618713064,0.625901618713064,0.630035387860191,2.5076350125432e-05,0,1630,1630
baseline,-0.45,0.54899588437108,0.54899588437108,0.511953123319598,3.07710579002316e-05,0,226,226
GPS-rational,-0.45,0.54890490582511,0.54890490582511,0.511813552734171,3.07793197132485e-05,0,1630,1630
local-proposed,-0.45,0.550027341932446,0.550027341932446,0.513535706333596,3.06776869976647e-05,0,226,226
integer-safe-GPS,-0.45,0.576630854826146,0.576630854826146,0.554447945544729,2.84462677594463e-05,0,1630,1630
baseline,-0.4,0.493186415739404,0.493186415739404,0.42730346655942,3.67546163888722e-05,0,226,226
GPS-rational,-0.4,0.493076707106644,0.493076707106644,0.427139688049069,3.67684496363421e-05,0,1630,1630
local-proposed,-0.4,0.4944297890352,0.4944297890352,0.429160541871865,3.6598487035678e-05,0,226,226
integer-safe-GPS,-0.4,0.52624077189405,0.52624077189405,0.477168835113849,3.29771230303305e-05,0,1630,1630
baseline,-0.35,0.435596172319478,0.435596172319478,0.343485255526769,4.55190408239708e-05,0,1629,226
GPS-rational,-0.35,0.435463174102895,0.435463174102895,0.343297506866537,4.55433670703653e-05,0,1630,1630
local-proposed,-0.35,0.437102728317984,0.437102728317984,0.345614127019831,4.52450138647342e-05,0,226,226
integer-safe-GPS,-0.35,0.475207561780434,0.475207561780434,0.400648775441755,3.91518940743166e-05,0,1630,1630
baseline,-0.3,0.376427949765966,0.376427949765966,0.263317679139179,5.89679838152082e-05,0,1629,226
GPS-rational,-0.3,0.376264909960685,0.376264909960685,0.263107004329629,5.90138045997282e-05,0,1630,1630
local-proposed,-0.3,0.378273358139695,0.378273358139695,0.265706508949211,5.84533587004669e-05,0,226,226
