support_name,num_paths,scheme,num_events,min_exact_lambda,min_gershgorin_bound,min_coherence_bound,positive_gershgorin_fraction,positive_coherence_fraction,exact_rank_loss_events,pairwise_rank_loss_events,collective_only_rank_loss_events,safe_but_uncertified_fraction,bound_exact_correlation,mean_bound_gap,bound_time_ms,eigen_time_ms
P3-set1,3,baseline,1652,0.000142958252225989,-0.346337384168824,-0.999714083495548,0.9909200968523,0.972154963680387,0,0,0,0.00907990314769976,0.989713234969725,0.0288302832974556,12.2143,3.8716
P3-set1,3,GPS-rational,1652,0,-0.207106781186547,-1,0.98728813559322,0.973365617433414,4,4,0,0.0102905569007264,0.991335266092482,0.0230710635898601,7.6296,3.2552
P3-set1,3,local-proposed,1652,0.00176538603748055,-0.301849834191237,-0.996469227925039,0.989709443099274,0.973365617433414,0,0,0,0.0102905569007264,0.989165565779136,0.0289468158526345,8.6381,5.459
P3-set1,3,pairwise-safe-GPS,1652,0.0406089135079866,-0.315568903948857,-0.910672978251212,0.98910411622276,0.970944309927361,0,0,0,0.0108958837772397,0.990659105795492,0.0276916205300417,10.9505,2.9903
P3-set2,3,baseline,1652,0.163964462486539,-0.103753451614899,-0.60912165716016,0.997578692493947,0.960653753026634,0,0,0,0.00242130750605327,0.980515434203064,0.02124564580503,11.7602,5.7894
P3-set2,3,GPS-rational,1652,5.55111512312578e-17,-0.207106781186545,-1,0.99455205811138,0.960048426150121,4,4,0,0.00302663438256659,0.981118161922497,0.0213548771580858,6.1823,3.0793
P3-set2,3,local-proposed,1652,0.113118510253135,-0.033188991099215,-0.773762979493731,0.998789346246973,0.961259079903148,0,0,0,0.00121065375302663,0.981832463175702,0.0209021951180612,11.0485,5.0983
P3-set2,3,pairwise-safe-GPS,1652,0.0426676435857583,-0.207039305062133,-0.91266780745484,0.996973365617433,0.969128329297821,0,0,0,0.00302663438256659,0.981142277358405,0.0213942027043977,6.0271,2.8966
P4-set3,4,baseline,1652,0.000142958252225656,-0.41531721098692,-1.99957112524332,0.957627118644068,0.921912832929782,0,0,0,0.0423728813559322,0.984139039034129,0.0580310338196881,6.7339,3.5708
P4-set3,4,GPS-rational,1652,0,-0.392133898068011,-2,0.961259079903148,0.925544794188862,6,6,0,0.0351089588377724,0.983810979265322,0.0528360002864334,7.4915,3.4321
P4-set3,4,local-proposed,1652,0.00176538603748061,-0.489948230415419,-1.99470384188756,0.955205811138015,0.920096852300242,0,0,0,0.0447941888619855,0.983832405918511,0.0578256752483019,6.6364,3.9737
P4-set3,4,pairwise-safe-GPS,1652,0.0324157199501307,-0.452926584137667,-1.86900171118226,0.958232445520581,0.918280871670702,0,0,0,0.0417675544794189,0.984585218752673,0.0583146364609252,11.832,4.2986
