scheme,pattern,num_events,pairwise_rank_loss_events,collective_only_events,min_exact_lambda,min_pairwise_safe_lambda,max_pair_correlation_at_collective,worst_pairwise_safe_event_index,worst_block_offset,worst_block_amplitudes,max_pair_correlation_at_worst
baseline,1-1-1-1,1280,0,0,3.57402017368003e-05,3.57402017368003e-05,NaN,1239,16,"1,-1,0,0",0.500000000000003
GPS-rational,1-1-1-1,1280,64,0,0,0.0893163974770392,NaN,34,1,"-1,1,-1,0",0.666666666666672
GPS-rational,2-1-1-1,1280,64,0,0,0.0893163974770392,NaN,34,1,"-1,1,-1,0",0.666666666666672
GPS-rational,1-2-1-1,1280,64,0,0,0.089316397477039,NaN,28,1,"-1,-1,-1,0",0.666666666666672
GPS-rational,2-2-1-1,1280,64,0,0,0.089316397477039,NaN,28,1,"-1,-1,-1,0",0.666666666666672
GPS-rational,1-1-2-1,1280,64,0,0,0.0893163974770389,NaN,30,1,"1,-1,-1,0",0.666666666666672
GPS-rational,2-1-2-1,1280,64,0,0,0.0893163974770389,NaN,30,1,"1,-1,-1,0",0.666666666666672
GPS-rational,1-2-2-1,1280,64,0,0,0.0893163974770393,NaN,36,1,"1,1,-1,0",0.666666666666672
GPS-rational,2-2-2-1,1280,64,0,0,0.0893163974770393,NaN,36,1,"1,1,-1,0",0.666666666666672
GPS-rational,1-1-1-2,1280,64,0,0,0.0893163974770391,NaN,34,1,"-1,1,-1,0",0.666666666666672
GPS-rational,2-1-1-2,1280,64,0,0,0.0893163974770391,NaN,34,1,"-1,1,-1,0",0.666666666666672
GPS-rational,1-2-1-2,1280,64,0,0,0.089316397477039,NaN,28,1,"-1,-1,-1,0",0.666666666666672
GPS-rational,2-2-1-2,1280,64,0,0,0.089316397477039,NaN,28,1,"-1,-1,-1,0",0.666666666666672
GPS-rational,1-1-2-2,1280,64,0,0,0.0893163974770389,NaN,30,1,"1,-1,-1,0",0.666666666666672
GPS-rational,2-1-2-2,1280,64,0,0,0.0893163974770389,NaN,30,1,"1,-1,-1,0",0.666666666666672
GPS-rational,1-2-2-2,1280,64,0,0,0.0893163974770393,NaN,36,1,"1,1,-1,0",0.666666666666672
GPS-rational,2-2-2-2,1280,64,0,0,0.0893163974770393,NaN,36,1,"1,1,-1,0",0.666666666666672
GPS-offset,1-1-1-1,1280,60,0,0,0.0418613672259355,NaN,4,1,"-1,0,-1,-1",0.659180718624029
GPS-offset,2-1-1-1,1280,0,0,0.0171370680590226,0.0171370680590226,NaN,253,4,"-1,0,0,-1",0.5
GPS-offset,1-2-1-1,1280,0,0,0.0161446968659763,0.0161446968659763,NaN,36,1,"1,1,-1,0",0.636890992750404
GPS-offset,2-2-1-1,1280,0,0,0.0161446968659763,0.0161446968659763,NaN,36,1,"1,1,-1,0",0.636890992750404
GPS-offset,1-1-2-1,1280,0,0,0.0161446968659769,0.0161446968659769,NaN,30,1,"1,-1,-1,0",0.636890992750411
GPS-offset,2-1-2-1,1280,0,0,0.0161446968659769,0.0161446968659769,NaN,30,1,"1,-1,-1,0",0.636890992750411
GPS-offset,1-2-2-1,1280,0,0,0.0161446968659769,0.0161446968659769,NaN,6,1,"1,0,-1,-1",0.636890992750405
GPS-offset,2-2-2-1,1280,0,0,0.0161446968659769,0.0161446968659769,NaN,6,1,"1,0,-1,-1",0.636890992750405
