scheme,case_name,beta1,beta2,relative_beta,SNR_dB,num_frames,BER
baseline,aligned-0,0,0,0,28,3000,0
GPS-rational,aligned-0,0,0,0,28,3000,0.00422395833333333
local-proposed,aligned-0,0,0,0,28,3000,0
integer-safe-GPS,aligned-0,0,0,0,28,3000,0
baseline,aligned-0,0,0,0,40,3000,0
GPS-rational,aligned-0,0,0,0,40,3000,0.00392708333333333
local-proposed,aligned-0,0,0,0,40,3000,0
integer-safe-GPS,aligned-0,0,0,0,40,3000,0
baseline,aligned-0.25,0.25,0.25,0,28,3000,0
GPS-rational,aligned-0.25,0.25,0.25,0,28,3000,0.00372395833333333
local-proposed,aligned-0.25,0.25,0.25,0,28,3000,0
integer-safe-GPS,aligned-0.25,0.25,0.25,0,28,3000,0
baseline,aligned-0.25,0.25,0.25,0,40,3000,0
GPS-rational,aligned-0.25,0.25,0.25,0,40,3000,0.0040625
local-proposed,aligned-0.25,0.25,0.25,0,40,3000,0
integer-safe-GPS,aligned-0.25,0.25,0.25,0,40,3000,0
baseline,aligned-0.50,0.5,0.5,0,28,3000,0
GPS-rational,aligned-0.50,0.5,0.5,0,28,3000,0.003578125
local-proposed,aligned-0.50,0.5,0.5,0,28,3000,0
integer-safe-GPS,aligned-0.50,0.5,0.5,0,28,3000,0
baseline,aligned-0.50,0.5,0.5,0,40,3000,0
GPS-rational,aligned-0.50,0.5,0.5,0,40,3000,0.003875
local-proposed,aligned-0.50,0.5,0.5,0,40,3000,0
integer-safe-GPS,aligned-0.50,0.5,0.5,0,40,3000,0
baseline,relative-0.05,0,0.05,0.05,28,3000,1.04166666666667e-05
GPS-rational,relative-0.05,0,0.05,0.05,28,3000,5.20833333333333e-06
local-proposed,relative-0.05,0,0.05,0.05,28,3000,5.20833333333333e-06
integer-safe-GPS,relative-0.05,0,0.05,0.05,28,3000,1.5625e-05
baseline,relative-0.05,0,0.05,0.05,40,3000,0
GPS-rational,relative-0.05,0,0.05,0.05,40,3000,0
local-proposed,relative-0.05,0,0.05,0.05,40,3000,0
integer-safe-GPS,relative-0.05,0,0.05,0.05,40,3000,0
baseline,relative-0.25,0,0.25,0.25,28,3000,0
GPS-rational,relative-0.25,0,0.25,0.25,28,3000,0
local-proposed,relative-0.25,0,0.25,0.25,28,3000,0
integer-safe-GPS,relative-0.25,0,0.25,0.25,28,3000,0
baseline,relative-0.25,0,0.25,0.25,40,3000,0
GPS-rational,relative-0.25,0,0.25,0.25,40,3000,0
local-proposed,relative-0.25,0,0.25,0.25,40,3000,0
integer-safe-GPS,relative-0.25,0,0.25,0.25,40,3000,0
